Table,Field,Description
visits,,Patient encounter data
visits,Id,Primary Key. Unique Identifier of the encounter.
visits,StartDate,The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the encounter started
visits,StartTime,The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the encounter started
visits,StopDate,The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the encounter concluded
visits,StopTime,The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the encounter concluded
visits,PatientID,Foreign key to the Patient.
visits,HospitalID,Foreign key to the Organization.
visits,PayerID,Foreign key to the Payer.
visits,EncounterClass,""The class of the encounter, such as ambulatory, emergency, inpatient, wellness, or urgentcare"""
visits,Code,Encounter code from SNOMED-CT
visits,Description,Description of the type of encounter.
visits,Base_Encounter_Cost,""The base cost of the encounter, not including any line item costs related to medications, immunizations, procedures, or other services."""
visits,Total_Claim_Cost,""The total cost of the encounter, including all line items."""
visits,Payer_Coverage,The amount of cost covered by the Payer.
visits,ReasonCode,""Diagnosis code from SNOMED-CT, only if this encounter targeted a specific condition."""
visits,ReasonDescription,Description of the reason code.
hospitals,,Hospital details
hospitals,HospitalID,Primary key of the Organization.
hospitals,Name,Name of the Organization.
hospitals,Address,Organization's street address without commas or newlines.
hospitals,City,Street address city.
hospitals,State,Street address state abbreviation.
hospitals,Zip,Street address zip or postal code.
hospitals,Lat,Latitude of Organization's address.
hospitals,Lon,Longitude of Organization's address.
patients,,Patient demographic data.
patients,PatientID,Primary Key. Unique Identifier of the patient.
patients,BirthDate,The date (YYYY-MM-DD) the patient was born.
patients,DeathDate,The date (YYYY-MM-DD) the patient died.
patients,Prefix,""Name prefix, such as Mr., Mrs., Dr., etc."""
patients,First,First name of the patient.
patients,Middle,Middle name of the patient.
patients,Last,Last or surname of the patient.
patients,Suffix,""Name suffix, such as PhD, MD, JD, etc."""
patients,Maiden,Maiden name of the patient.
patients,Marital,""Marital Status. M is married, S is single. Currently no support for divorce (D) or widowing (W)"""
patients,Race,Description of the patient's primary race.
patients,Ethnicity,Description of the patient's primary ethnicity.
patients,Gender,""Gender. M is male, F is female."""
patients,BirthPlace,Name of the town where the patient was born.
patients,Address,Patient's street address without commas or newlines.
patients,City,Patient's address city.
patients,State,Patient's address state.
patients,County,Patient's address county.
patients,FIPS County Code,Patient's FIPS county code.
patients,Zip,Patient's zip code.
patients,Lat,Latitude of Patient's address.
patients,Lon,Longitude of Patient's address.
payers,,Insurance payer data.
payers,PayerID,Primary key of the Payer (e.g. Insurance).
payers,Name,Name of the Payer.
payers,Address,Payer's street address without commas or newlines.
payers,City,Street address city.
payers,State_Headquartered,Street address state abbreviation.
payers,Zip,Street address zip or postal code.
payers,Phone,Payer's phone number.
procedures,,Patient procedure data including surgeries.
procedures,StartDate,The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the procedure was performed.
procedures,StartTime,The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the procedure was performed.
procedures,StopDate,""The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the procedure was completed, if applicable."""
procedures,StopTime,""The date and time (iso8601 UTC Date (yyyy-MM-dd'T'HH:mm'Z')) the procedure was completed, if applicable."""
procedures,PatientID,Foreign key to the Patient.
procedures,VisitID,Foreign key to the Encounter where the procedure was performed.
procedures,Code,Procedure code from SNOMED-CT
procedures,Description,Description of the procedure.
procedures,Base_Cost,The line item cost of the procedure.
procedures,ReasonCode,Diagnosis code from SNOMED-CT specifying why this procedure was performed.
procedures,ReasonDescription,Description of the reason code.
